,kernel,bsz,sq,sk,hq,hk,hm,hdim,sparsity,seed,dataname,time(ms)
121,sparsemask,8,4096,4096,32,32,1,128,40,68,srowsQ2A4K.npz,15.248782634735107
122,sparsemask,8,8192,8192,32,32,1,128,40,68,srowsQ2A8K.npz,51.68882369995117
123,sparsemask,8,16384,16384,32,32,1,128,40,68,srowsQ2A16K.npz,189.01822566986084
124,sparsemask,8,32768,32768,32,32,1,128,40,68,srowsQ2A32K.npz,703.6572345097859
125,sparsemask,8,65536,65536,32,32,1,128,40,68,srowsQ2A64K.npz,2813.1235567728672
126,sparsemask,8,131072,131072,32,32,1,128,40,68,srowsQ2A128K.npz,nan
127,sparsemask,8,2048,2048,32,32,1,128,50,68,srowsQ2A2K.npz,4.732201894124349
128,sparsemask,8,4096,4096,32,32,1,128,50,68,srowsQ2A4K.npz,13.790613810221355
129,sparsemask,8,8192,8192,32,32,1,128,50,68,srowsQ2A8K.npz,45.88343938191732
130,sparsemask,8,16384,16384,32,32,1,128,50,68,srowsQ2A16K.npz,160.89459896087646
131,sparsemask,8,32768,32768,32,32,1,128,50,68,srowsQ2A32K.npz,603.1304883956908
132,sparsemask,8,65536,65536,32,32,1,128,50,68,srowsQ2A64K.npz,2271.579228639602
133,sparsemask,8,131072,131072,32,32,1,128,50,68,srowsQ2A128K.npz,nan
134,sparsemask,8,2048,2048,32,32,1,128,60,68,srowsQ2A2K.npz,4.23595905303955
135,sparsemask,8,4096,4096,32,32,1,128,60,68,srowsQ2A4K.npz,11.57116985321045
136,sparsemask,8,8192,8192,32,32,1,128,60,68,srowsQ2A8K.npz,37.31771659851074
137,sparsemask,8,16384,16384,32,32,1,128,60,68,srowsQ2A16K.npz,130.20486116409302
138,attentionmask,8,2048,2048,32,32,1,128,60,68,srowsQ6A2K.npz,16.856369376182553
139,math_attention,8,2048,2048,32,32,1,128,60,68,srowsQ6A2K.npz,30.32532274723053
140,attentionmask,8,4096,4096,32,32,1,128,60,68,srowsQ6A4K.npz,64.11391496658325
141,math_attention,8,4096,4096,32,32,1,128,60,68,srowsQ6A4K.npz,121.28882169723511
142,attentionmask,8,8192,8192,32,32,1,128,60,68,srowsQ6A8K.npz,246.35994434356692
143,math_attention,8,8192,8192,32,32,1,128,60,68,srowsQ6A8K.npz,nan
144,attentionmask,8,16384,16384,32,32,1,128,60,68,srowsQ6A16K.npz,973.2719874382019
145,math_attention,8,16384,16384,32,32,1,128,60,68,srowsQ6A16K.npz,nan
146,attentionmask,8,32768,32768,32,32,1,128,60,68,srowsQ6A32K.npz,3883.76104593277
147,math_attention,8,32768,32768,32,32,1,128,60,68,srowsQ6A32K.npz,nan
148,attentionmask,8,65536,65536,32,32,1,128,60,68,srowsQ6A64K.npz,nan
149,math_attention,8,65536,65536,32,32,1,128,60,68,srowsQ6A64K.npz,nan
150,attentionmask,8,131072,131072,32,32,1,128,60,68,srowsQ6A128K.npz,nan
151,math_attention,8,131072,131072,32,32,1,128,60,68,srowsQ6A128K.npz,nan
152,sparsemask,8,2048,2048,32,32,1,128,10,68,srowsQ6A2K.npz,6.418032646179199
153,sparsemask,8,4096,4096,32,32,1,128,10,68,srowsQ6A4K.npz,20.744614601135254
154,sparsemask,8,8192,8192,32,32,1,128,10,68,srowsQ6A8K.npz,73.9153003692627
155,sparsemask,4,8192,8192,32,32,1,128,80,68,srowsQ2A8K.npz,11.478921665864831
156,sparsemask,4,16384,16384,32,32,1,128,80,68,srowsQ2A16K.npz,36.83772928574506
157,sparsemask,4,32768,32768,32,32,1,128,80,68,srowsQ2A32K.npz,127.86100745201112
158,sparsemask,4,65536,65536,32,32,1,128,80,68,srowsQ2A64K.npz,456.5116633687701
159,sparsemask,4,131072,131072,32,32,1,128,80,68,srowsQ2A128K.npz,1743.1701701028005
160,sparsemask,4,2048,2048,32,32,1,128,90,68,srowsQ2A2K.npz,1.5815973281860352
161,attentionmask,4,2048,2048,32,32,1,128,60,68,srowsQ6A2K.npz,8.505700826644896
162,math_attention,4,2048,2048,32,32,1,128,60,68,srowsQ6A2K.npz,15.090621113777162
163,attentionmask,4,4096,4096,32,32,1,128,60,68,srowsQ6A4K.npz,31.541093985239666
164,math_attention,4,4096,4096,32,32,1,128,60,68,srowsQ6A4K.npz,59.836558500925705
165,attentionmask,4,8192,8192,32,32,1,128,60,68,srowsQ6A8K.npz,123.37934573491415
166,math_attention,4,8192,8192,32,32,1,128,60,68,srowsQ6A8K.npz,246.91692272822064
167,attentionmask,4,16384,16384,32,32,1,128,60,68,srowsQ6A16K.npz,486.6507087435041
168,math_attention,4,16384,16384,32,32,1,128,60,68,srowsQ6A16K.npz,nan
169,attentionmask,4,32768,32768,32,32,1,128,60,68,srowsQ6A32K.npz,1942.9622425351824
170,math_attention,4,32768,32768,32,32,1,128,60,68,srowsQ6A32K.npz,nan
171,attentionmask,4,65536,65536,32,32,1,128,60,68,srowsQ6A64K.npz,7816.767813563347
172,math_attention,4,65536,65536,32,32,1,128,60,68,srowsQ6A64K.npz,nan
173,sparsemask,8,16384,16384,32,32,1,128,10,68,srowsQ1A16K.npz,288.6521244049072
174,sparsemask,8,32768,32768,32,32,1,128,10,68,srowsQ1A32K.npz,1043.4799337387085
175,sparsemask,8,65536,65536,32,32,1,128,10,68,srowsQ1A64K.npz,4283.515100479126
176,sparsemask,8,131072,131072,32,32,1,128,10,68,srowsQ1A128K.npz,nan
177,sparsemask,8,2048,2048,32,32,1,128,20,68,srowsQ1A2K.npz,5.784544944763184
178,sparsemask,8,4096,4096,32,32,1,128,20,68,srowsQ1A4K.npz,19.516537189483646
179,sparsemask,8,8192,8192,32,32,1,128,20,68,srowsQ1A8K.npz,68.03524971008301
180,sparsemask,8,16384,16384,32,32,1,128,20,68,srowsQ1A16K.npz,249.79029178619385
181,sparsemask,8,32768,32768,32,32,1,128,20,68,srowsQ1A32K.npz,981.0765171051025
182,sparsemask,8,65536,65536,32,32,1,128,20,68,srowsQ1A64K.npz,3769.0710830688477
183,sparsemask,8,131072,131072,32,32,1,128,20,68,srowsQ1A128K.npz,nan
184,sparsemask,8,2048,2048,32,32,1,128,30,68,srowsQ1A2K.npz,5.6386518478393555
185,sparsemask,8,4096,4096,32,32,1,128,30,68,srowsQ1A4K.npz,16.944313049316406
186,sparsemask,8,8192,8192,32,32,1,128,30,68,srowsQ1A8K.npz,58.994290828704834
